CohortMonth,MonthNumber,RetentionRate
2025-01-01,1,100.0
2025-01-01,2,48.72
2025-01-01,3,33.33
2025-01-01,4,28.21
2025-01-01,5,10.26
2025-01-01,6,7.69
2025-01-01,7,2.56
2025-01-01,8,5.13
2025-01-01,9,2.56
2025-01-01,10,2.56
2025-01-01,11,2.56
2025-01-01,12,
2025-01-01,13,
2025-02-01,1,100.0
2025-02-01,2,53.62
2025-02-01,3,33.33
2025-02-01,4,21.74
2025-02-01,5,15.94
2025-02-01,6,15.94
2025-02-01,7,5.8
2025-02-01,8,5.8
2025-02-01,9,5.8
2025-02-01,10,1.45
2025-02-01,11,4.35
2025-02-01,12,2.9
2025-02-01,13,1.45
2025-03-01,1,100.0
2025-03-01,2,53.49
2025-03-01,3,37.21
2025-03-01,4,19.77
2025-03-01,5,10.47
2025-03-01,6,6.98
2025-03-01,7,5.81
2025-03-01,8,3.49
2025-03-01,9,2.33
2025-03-01,10,1.16
2025-03-01,11,
2025-03-01,12,1.16
2025-03-01,13,
2025-04-01,1,100.0
2025-04-01,2,48.65
2025-04-01,3,28.38
2025-04-01,4,28.38
2025-04-01,5,17.57
2025-04-01,6,5.41
2025-04-01,7,9.46
2025-04-01,8,4.05
2025-04-01,9,1.35
2025-04-01,10,
2025-04-01,11,
2025-04-01,12,
2025-04-01,13,
2025-05-01,1,100.0
2025-05-01,2,44.32
2025-05-01,3,31.82
2025-05-01,4,20.45
2025-05-01,5,10.23
2025-05-01,6,10.23
2025-05-01,7,4.55
2025-05-01,8,4.55
2025-05-01,9,5.68
2025-05-01,10,2.27
2025-05-01,11,1.14
2025-05-01,12,
2025-05-01,13,
2025-06-01,1,100.0
2025-06-01,2,43.75
2025-06-01,3,37.5
2025-06-01,4,18.75
2025-06-01,5,7.5
2025-06-01,6,3.75
2025-06-01,7,2.5
2025-06-01,8,1.25
2025-06-01,9,1.25
2025-06-01,10,
2025-06-01,11,
2025-06-01,12,
2025-06-01,13,
2025-07-01,1,100.0
2025-07-01,2,53.03
2025-07-01,3,37.88
2025-07-01,4,22.73
2025-07-01,5,15.15
2025-07-01,6,13.64
2025-07-01,7,10.61
2025-07-01,8,4.55
2025-07-01,9,4.55
2025-07-01,10,3.03
2025-07-01,11,
2025-07-01,12,1.52
2025-07-01,13,
2025-08-01,1,100.0
2025-08-01,2,52.31
2025-08-01,3,40.0
2025-08-01,4,23.08
2025-08-01,5,13.85
2025-08-01,6,3.08
2025-08-01,7,4.62
2025-08-01,8,3.08
2025-08-01,9,1.54
2025-08-01,10,3.08
2025-08-01,11,
2025-08-01,12,
2025-08-01,13,
2025-09-01,1,100.0
2025-09-01,2,48.65
2025-09-01,3,35.14
2025-09-01,4,21.62
2025-09-01,5,16.22
2025-09-01,6,8.11
2025-09-01,7,6.76
2025-09-01,8,4.05
2025-09-01,9,1.35
2025-09-01,10,2.7
2025-09-01,11,
2025-09-01,12,
2025-09-01,13,
2025-10-01,1,100.0
2025-10-01,2,57.33
2025-10-01,3,42.67
2025-10-01,4,22.67
2025-10-01,5,12.0
2025-10-01,6,8.0
2025-10-01,7,9.33
2025-10-01,8,8.0
2025-10-01,9,5.33
2025-10-01,10,
2025-10-01,11,
2025-10-01,12,
2025-10-01,13,
2025-11-01,1,100.0
2025-11-01,2,57.97
2025-11-01,3,33.33
2025-11-01,4,24.64
2025-11-01,5,17.39
2025-11-01,6,10.14
2025-11-01,7,5.8
2025-11-01,8,5.8
2025-11-01,9,
2025-11-01,10,
2025-11-01,11,
2025-11-01,12,
2025-11-01,13,
2025-12-01,1,100.0
2025-12-01,2,55.56
2025-12-01,3,31.94
2025-12-01,4,25.0
2025-12-01,5,12.5
2025-12-01,6,8.33
2025-12-01,7,2.78
2025-12-01,8,
2025-12-01,9,
2025-12-01,10,
2025-12-01,11,
2025-12-01,12,
2025-12-01,13,
2026-01-01,1,100.0
2026-01-01,2,43.48
2026-01-01,3,33.33
2026-01-01,4,24.64
2026-01-01,5,11.59
2026-01-01,6,8.7
2026-01-01,7,
2026-01-01,8,
2026-01-01,9,
2026-01-01,10,
2026-01-01,11,
2026-01-01,12,
2026-01-01,13,
2026-02-01,1,100.0
2026-02-01,2,60.66
2026-02-01,3,34.43
2026-02-01,4,19.67
2026-02-01,5,16.39
2026-02-01,6,
2026-02-01,7,
2026-02-01,8,
2026-02-01,9,
2026-02-01,10,
2026-02-01,11,
2026-02-01,12,
2026-02-01,13,
2026-03-01,1,100.0
2026-03-01,2,46.48
2026-03-01,3,40.85
2026-03-01,4,28.17
2026-03-01,5,
2026-03-01,6,
2026-03-01,7,
2026-03-01,8,
2026-03-01,9,
2026-03-01,10,
2026-03-01,11,
2026-03-01,12,
2026-03-01,13,
2026-04-01,1,100.0
2026-04-01,2,51.72
2026-04-01,3,37.93
2026-04-01,4,
2026-04-01,5,
2026-04-01,6,
2026-04-01,7,
2026-04-01,8,
2026-04-01,9,
2026-04-01,10,
2026-04-01,11,
2026-04-01,12,
2026-04-01,13,
2026-05-01,1,100.0
2026-05-01,2,44.74
2026-05-01,3,
2026-05-01,4,
2026-05-01,5,
2026-05-01,6,
2026-05-01,7,
2026-05-01,8,
2026-05-01,9,
2026-05-01,10,
2026-05-01,11,
2026-05-01,12,
2026-05-01,13,
2026-06-01,1,100.0
2026-06-01,2,
2026-06-01,3,
2026-06-01,4,
2026-06-01,5,
2026-06-01,6,
2026-06-01,7,
2026-06-01,8,
2026-06-01,9,
2026-06-01,10,
2026-06-01,11,
2026-06-01,12,
2026-06-01,13,
