CustomerID,TotalRevenue,TotalOrders,TotalQuantity,FirstPurchase,LastPurchase,Country,Region,AcquisitionChannel,SubscriptionPlan,AverageOrderValue,CustomerLifespanDays,CustomerLifespanMonths,PurchaseFrequencyPerMonth,HistoricalCLTV,CLTVDifference,CLTVSegment,CLTVSegmentSort
C00001,2048.2195,2,7,2026-01-01,2026-01-05,India,East,Organic Search,Basic,1024.11,4,1.0,2.0,2048.22,0.0,Low Value,1
C00002,3127.6169999999997,4,7,2026-02-06,2026-03-26,United Kingdom,North,Referral,Basic,781.9,48,1.58,2.53,3125.57,-2.05,Medium Value,2
C00003,22259.386000000002,7,22,2025-05-19,2025-09-23,United Kingdom,North,Social Media,Standard,3179.91,127,4.17,1.68,22277.18,17.79,Very High Value,4
C00004,10300.8,1,5,2025-08-06,2025-08-06,India,Central,Organic Search,Premium,10300.8,0,1.0,1.0,10300.8,0.0,High Value,3
C00005,900.224,1,4,2025-03-30,2025-03-30,India,East,Email,Basic,900.22,0,1.0,1.0,900.22,-0.0,Low Value,1
C00006,2345.088,3,5,2025-03-05,2025-04-23,India,North,Organic Search,Basic,781.7,49,1.61,1.86,2340.88,-4.21,Medium Value,2
C00007,76814.064,9,34,2025-01-27,2025-08-06,India,Central,Email,Premium,8534.9,191,6.27,1.44,77059.91,245.85,Very High Value,4
C00008,2672.1215,2,4,2025-06-13,2025-07-15,Canada,Central,Referral,Basic,1336.06,32,1.05,1.9,2665.44,-6.68,Medium Value,2
C00009,120106.263,12,42,2025-02-09,2025-10-20,United States,South,Organic Search,Premium,10008.86,253,8.31,1.44,119770.02,-336.24,Very High Value,4
C00010,10711.7085,2,4,2026-04-13,2026-05-10,India,East,Organic Search,Premium,5355.85,27,1.0,2.0,10711.7,-0.01,High Value,3
C00011,38429.2685,12,39,2025-07-25,2026-04-15,United States,East,Organic Search,Standard,3202.44,264,8.67,1.38,38315.91,-113.36,Very High Value,4
C00012,7816.741,6,20,2025-12-12,2026-05-04,India,South,Organic Search,Basic,1302.79,143,4.7,1.28,7837.58,20.84,High Value,3
C00013,47344.29749999999,6,21,2025-12-12,2026-05-31,United States,South,Email,Premium,7890.72,170,5.58,1.08,47552.64,208.34,Very High Value,4
C00014,5938.452,6,18,2025-05-20,2025-09-26,India,East,Referral,Basic,989.74,129,4.24,1.42,5959.03,20.58,High Value,3
C00015,18499.291,8,19,2025-10-30,2026-05-30,India,East,Referral,Standard,2312.41,212,6.96,1.15,18508.53,9.24,Very High Value,4
C00016,2611.879,2,2,2025-12-23,2026-01-08,India,East,Social Media,Standard,1305.94,16,1.0,2.0,2611.88,0.0,Medium Value,2
C00017,3670.38,2,6,2026-02-08,2026-03-06,India,Central,Email,Basic,1835.19,26,1.0,2.0,3670.38,0.0,Medium Value,2
C00018,1248.0465,1,3,2025-10-10,2025-10-10,Canada,North,Social Media,Basic,1248.05,0,1.0,1.0,1248.05,0.0,Low Value,1
C00019,7204.949999999999,2,7,2026-01-08,2026-02-04,India,North,Social Media,Standard,3602.47,27,1.0,2.0,7204.94,-0.01,High Value,3
C00020,614.0640000000001,1,3,2025-05-24,2025-05-24,United States,North,Affiliate,Basic,614.06,0,1.0,1.0,614.06,-0.0,Low Value,1
C00021,1047.04,1,4,2026-01-25,2026-01-25,India,East,Paid Search,Basic,1047.04,0,1.0,1.0,1047.04,0.0,Low Value,1
C00022,33369.746999999996,8,29,2026-01-26,2026-06-23,Australia,East,Referral,Standard,4171.22,148,4.86,1.65,33449.01,79.26,Very High Value,4
C00023,6206.5689999999995,2,7,2025-04-02,2025-05-17,Canada,East,Referral,Standard,3103.28,45,1.48,1.35,6200.35,-6.22,High Value,3
C00024,77011.682,8,20,2025-10-01,2025-12-18,Australia,Central,Referral,Premium,9626.46,78,2.56,3.12,76888.46,-123.22,Very High Value,4
C00025,3776.7740000000003,2,6,2025-12-14,2026-01-07,India,North,Paid Search,Basic,1888.39,24,1.0,2.0,3776.78,0.01,Medium Value,2
C00026,3723.759000000001,1,3,2026-02-28,2026-02-28,India,North,Paid Search,Standard,3723.76,0,1.0,1.0,3723.76,0.0,Medium Value,2
C00027,7795.064,2,6,2026-02-07,2026-03-23,Australia,North,Social Media,Standard,3897.53,44,1.45,1.38,7798.96,3.9,High Value,3
C00028,15536.4605,4,12,2025-12-11,2026-01-14,India,Central,Social Media,Standard,3884.12,34,1.12,3.57,15530.27,-6.19,Very High Value,4
C00029,2298.835,2,5,2025-04-29,2025-06-08,United States,South,Affiliate,Basic,1149.42,40,1.31,1.53,2303.78,4.95,Medium Value,2
C00030,242.5445,1,1,2025-08-13,2025-08-13,India,Central,Social Media,Basic,242.54,0,1.0,1.0,242.54,-0.0,Low Value,1
C00031,7467.258,6,17,2025-01-22,2025-04-08,United Kingdom,South,Email,Basic,1244.54,76,2.5,2.4,7467.24,-0.02,High Value,3
C00032,1208.649,2,6,2025-03-01,2025-03-23,Canada,North,Organic Search,Basic,604.32,22,1.0,2.0,1208.64,-0.01,Low Value,1
C00033,25697.0435,4,11,2025-12-26,2026-03-01,India,Central,Social Media,Premium,6424.26,65,2.14,1.87,25708.6,11.56,Very High Value,4
C00034,771.0859999999999,1,2,2025-10-03,2025-10-03,United States,West,Paid Search,Basic,771.09,0,1.0,1.0,771.09,0.0,Low Value,1
C00036,4198.92,3,6,2025-12-27,2026-01-23,United States,West,Organic Search,Standard,1399.64,27,1.0,3.0,4198.92,0.0,Medium Value,2
C00037,2663.1825,2,9,2025-04-23,2025-04-30,India,West,Organic Search,Basic,1331.59,7,1.0,2.0,2663.18,-0.0,Medium Value,2
C00039,26940.8695,4,10,2025-12-14,2026-02-12,Australia,North,Affiliate,Premium,6735.22,60,1.97,2.03,26934.82,-6.05,Very High Value,4
C00041,7420.4400000000005,2,7,2025-08-12,2025-09-07,India,West,Organic Search,Standard,3710.22,26,1.0,2.0,7420.44,-0.0,High Value,3
C00042,5371.68,2,6,2025-08-11,2025-09-21,United Kingdom,Central,Email,Standard,2685.84,41,1.35,1.48,5366.31,-5.37,High Value,3
C00043,7877.22,5,13,2025-05-23,2025-08-23,United States,Central,Affiliate,Basic,1575.44,92,3.02,1.66,7898.0,20.78,High Value,3
C00044,9441.3,1,5,2025-02-27,2025-02-27,Australia,Central,Email,Standard,9441.3,0,1.0,1.0,9441.3,0.0,High Value,3
C00045,1104.174,2,6,2025-10-04,2025-11-06,India,South,Organic Search,Basic,552.09,33,1.08,1.85,1103.08,-1.09,Low Value,1
C00047,21505.369,5,12,2025-08-23,2025-12-14,India,Central,Email,Premium,4301.07,113,3.71,1.35,21541.91,36.54,Very High Value,4
C00048,23617.489999999998,4,18,2026-01-12,2026-04-02,India,East,Paid Search,Standard,5904.37,80,2.63,1.52,23603.31,-14.18,Very High Value,4
C00049,8073.963,4,10,2025-06-29,2025-09-07,India,North,Affiliate,Standard,2018.49,70,2.3,1.74,8078.0,4.04,High Value,3
C00050,475.3135,1,1,2025-03-01,2025-03-01,India,South,Organic Search,Basic,475.31,0,1.0,1.0,475.31,-0.0,Low Value,1
C00051,3078.74,2,7,2025-02-23,2025-03-11,India,East,Referral,Basic,1539.37,16,1.0,2.0,3078.74,0.0,Medium Value,2
C00052,7013.407499999999,2,6,2025-06-10,2025-06-22,India,Central,Email,Standard,3506.7,12,1.0,2.0,7013.4,-0.01,High Value,3
C00053,17820.25,1,5,2025-12-27,2025-12-27,India,South,Organic Search,Premium,17820.25,0,1.0,1.0,17820.25,0.0,Very High Value,4
C00054,2780.675,2,9,2025-04-03,2025-05-04,India,Central,Paid Search,Basic,1390.34,31,1.02,1.96,2779.57,-1.11,Medium Value,2
C00055,20980.64,2,7,2026-03-23,2026-04-02,India,West,Paid Search,Premium,10490.32,10,1.0,2.0,20980.64,0.0,Very High Value,4
C00056,1531.938,2,4,2025-12-05,2025-12-16,India,East,Social Media,Basic,765.97,11,1.0,2.0,1531.94,0.0,Low Value,1
C00057,8784.214,6,18,2025-05-16,2025-10-03,United Kingdom,West,Organic Search,Basic,1464.04,140,4.6,1.3,8754.96,-29.25,High Value,3
C00058,63357.477,6,21,2025-02-20,2025-07-30,India,South,Affiliate,Premium,10559.58,160,5.26,1.14,63319.47,-38.01,Very High Value,4
C00059,2596.16,1,2,2025-04-15,2025-04-15,India,North,Social Media,Premium,2596.16,0,1.0,1.0,2596.16,0.0,Medium Value,2
C00060,2002.341,3,7,2026-04-04,2026-06-22,India,East,Organic Search,Basic,667.45,79,2.6,1.15,1995.68,-6.66,Low Value,1
C00062,1706.5970000000002,3,4,2025-05-07,2025-07-09,Canada,South,Referral,Basic,568.87,63,2.07,1.45,1707.46,0.86,Low Value,1
C00063,39591.5,3,12,2025-07-17,2025-09-17,United States,West,Referral,Premium,13197.17,62,2.04,1.47,39575.67,-15.83,Very High Value,4
C00064,2820.128,2,7,2025-05-27,2025-07-12,India,North,Organic Search,Basic,1410.06,46,1.51,1.32,2810.53,-9.6,Medium Value,2
C00065,44261.575,5,14,2025-05-05,2025-08-02,India,West,Referral,Premium,8852.31,89,2.92,1.71,44201.35,-60.22,Very High Value,4
C00066,2102.804,3,5,2025-05-12,2025-06-22,India,South,Organic Search,Basic,700.93,41,1.35,2.22,2100.69,-2.11,Low Value,1
C00067,25209.9,2,9,2026-04-03,2026-04-28,India,Central,Paid Search,Premium,12604.95,25,1.0,2.0,25209.9,0.0,Very High Value,4
C00068,13472.181999999999,2,6,2026-05-24,2026-06-20,India,East,Organic Search,Premium,6736.09,27,1.0,2.0,13472.18,-0.0,Very High Value,4
C00069,5573.152,6,11,2025-03-03,2025-06-17,United States,East,Email,Basic,928.86,106,3.48,1.72,5559.78,-13.37,High Value,3
C00070,2485.766,2,7,2025-10-09,2025-10-22,India,Central,Organic Search,Basic,1242.88,13,1.0,2.0,2485.76,-0.01,Medium Value,2
C00071,102011.9505,14,37,2025-10-20,2026-06-07,United States,Central,Affiliate,Premium,7286.57,230,7.56,1.85,101909.97,-101.98,Very High Value,4
C00072,20423.672,3,10,2025-05-05,2025-06-29,Australia,North,Paid Search,Premium,6807.89,55,1.81,1.66,20454.99,31.32,Very High Value,4
C00073,16912.205,7,17,2025-12-19,2026-04-01,India,East,Referral,Standard,2416.03,103,3.38,2.07,16904.0,-8.21,Very High Value,4
C00074,6705.2880000000005,2,5,2026-01-15,2026-01-18,India,South,Paid Search,Standard,3352.64,3,1.0,2.0,6705.28,-0.01,High Value,3
C00075,4278.6900000000005,4,9,2026-01-24,2026-03-15,United Kingdom,Central,Affiliate,Basic,1069.67,50,1.64,2.44,4280.39,1.7,Medium Value,2
C00076,15187.199,4,13,2025-06-22,2025-08-20,United States,West,Paid Search,Standard,3796.8,59,1.94,2.06,15173.53,-13.67,Very High Value,4
C00077,763.75,1,1,2025-08-30,2025-08-30,India,South,Social Media,Standard,763.75,0,1.0,1.0,763.75,0.0,Low Value,1
C00078,3841.6679999999997,3,6,2026-01-20,2026-04-07,India,North,Organic Search,Standard,1280.56,77,2.53,1.19,3855.38,13.71,Medium Value,2
C00079,4822.5070000000005,5,13,2025-03-04,2025-05-11,United States,South,Referral,Basic,964.5,68,2.23,2.24,4817.87,-4.64,Medium Value,2
C00080,1325.35,1,1,2025-01-25,2025-01-25,United Kingdom,West,Organic Search,Standard,1325.35,0,1.0,1.0,1325.35,0.0,Low Value,1
C00081,1365.69,1,3,2026-04-14,2026-04-14,United States,South,Email,Basic,1365.69,0,1.0,1.0,1365.69,0.0,Low Value,1
C00082,93594.4495,11,33,2025-04-01,2025-12-20,Canada,North,Email,Premium,8508.59,263,8.64,1.27,93363.06,-231.39,Very High Value,4
C00083,5676.259,4,5,2026-02-15,2026-04-04,United States,South,Social Media,Standard,1419.06,48,1.58,2.53,5672.55,-3.71,High Value,3
C00084,15137.169999999998,3,9,2025-10-31,2025-12-25,India,North,Paid Search,Standard,5045.72,55,1.81,1.66,15160.37,23.2,Very High Value,4
